City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,gebre guracha,9.8,38.4,15.01,41,96,1.58,ET,1702836207
269,ambon,-3.6954,128.1814,26.16,15,40,3.09,ID,1702835609
270,forde,61.4522,5.8572,9.0,100,100,1.54,NO,1702836209
271,chibougamau,49.9168,-74.3659,2.79,70,100,7.2,CA,1702836209
272,koropi,37.8989,23.8718,9.86,66,40,8.75,GR,1702836210
273,minas de marcona,-15.2119,-75.1103,22.05,61,48,6.95,PE,1702836211
274,broken hill,-31.95,141.4333,24.78,19,97,4.48,AU,1702836212
275,geraldton,-28.7667,114.6,20.23,83,100,6.69,AU,1702835628
276,malango,-2.9627,119.9001,20.08,97,99,1.42,ID,1702836213
277,westport,41.1415,-73.3579,12.96,88,100,8.23,US,1702836214
278,labytnangi,66.6572,66.4183,-20.31,98,99,2.52,RU,1702836214
279,suwayr,30.1171,40.3893,14.52,33,62,2.36,SA,1702836215
280,vilyuchinsk,52.9306,158.4028,0.15,94,100,18.64,RU,1702836216
281,dudinka,69.4058,86.1778,-16.32,84,100,12.2,RU,1702836217
282,lompoc,34.6391,-120.4579,22.74,46,0,3.09,US,1702836087
283,greenville,35.6127,-77.3663,15.01,99,100,4.12,US,1702836218
284,princeville,45.7668,-61.2985,3.28,78,0,5.14,CA,1702836178
285,bamboo flat,11.7,92.7167,27.05,94,40,1.03,IN,1702836219
286,kharp,66.8014,65.8081,-19.54,100,100,2.22,RU,1702836220
287,shahrak,34.1074,64.3052,0.16,36,0,1.3,AF,1702836221
288,selkirk,50.1436,-96.8845,-2.96,89,100,2.24,CA,1702836223
289,machalpur,24.1333,76.3,16.39,44,2,3.18,IN,1702836223
290,iskateley,67.6803,53.1512,-14.43,89,97,8.94,RU,1702836224
291,mhamid,29.82,-5.72,12.78,25,0,4.72,MA,1702836224
292,leona vicario,20.9667,-87.1917,24.99,60,26,4.02,MX,1702836225
293,okhotsk,59.3833,143.3,-21.03,84,50,9.24,RU,1702836225
294,morpeth,55.1676,-1.6912,12.27,76,40,8.75,GB,1702836107
295,abohar,30.15,74.1833,13.38,35,0,2.24,IN,1702836227
296,sokolow podlaski,52.4068,22.2531,5.78,92,100,7.82,PL,1702835975
297,anaconda,46.1285,-112.9423,4.55,45,93,0.91,US,1702836010
298,antigonish,45.6169,-61.9986,3.79,77,91,4.47,CA,1702836229
299,chichimila,20.6167,-88.2167,26.75,54,34,3.28,MX,1702836229
300,olyokminsk,60.3736,120.4264,-27.11,97,100,1.75,RU,1702836230
301,pontianak,-0.0333,109.3333,24.99,100,75,1.03,ID,1702836231
